
========================================================================
RUN STARTED  2026-06-17 00:44:25
site_pipeline.py https://diraq.com/
========================================================================

[00:44:25 +0s | diraq] === 0 crawl site ===
[00:44:28 +2s | diraq] [INIT].... → Crawl4AI 0.8.6 
[00:44:47 +19s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/on-demand-electrical-control-of-spin-qubits-7j9hw-3mgma        | ✓ | ⏱: 5.65s 
[00:44:47 +19s | diraq] [FETCH]... ↓ https://www.diraq.com/newsdesk?sort=alphabetical_asc                                                 | ✓ | ⏱: 8.07s 
[00:44:48 +19s | diraq] [SCRAPE].. ◆ https://www.diraq.com/newsdesk?sort=alphabetical_asc                                                 | ✓ | ⏱: 0.10s 
[00:44:48 +20s | diraq] [COMPLETE] ● https://www.diraq.com/newsdesk?sort=alphabetical_asc                                                 | ✓ | ⏱: 8.20s 
[00:44:48 +20s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/precision-...with-holes-on-a-natural-silicon-foundry-platform  | ✓ | ⏱: 5.66s 
[00:44:48 +20s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/precision-...with-holes-on-a-natural-silicon-foundry-platform  | ✓ | ⏱: 0.04s 
[00:44:48 +20s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/precision-...with-holes-on-a-natural-silicon-foundry-platform  | ✓ | ⏱: 5.73s 
[00:44:48 +20s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/scalable-q...urce-on-commercial-22-nm-cmos-process-technology  | ✓ | ⏱: 5.64s 
[00:44:48 +20s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/scalable-q...urce-on-commercial-22-nm-cmos-process-technology  | ✓ | ⏱: 0.04s 
[00:44:48 +20s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/scalable-q...urce-on-commercial-22-nm-cmos-process-technology  | ✓ | ⏱: 5.71s 
[00:44:48 +20s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/schrdinger-cat-states-of-a-nuclear-spin-qudit-in-silicon       | ✓ | ⏱: 5.43s 
[00:44:48 +20s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/schrdinger-cat-states-of-a-nuclear-spin-qudit-in-silicon       | ✓ | ⏱: 0.04s 
[00:44:48 +20s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/schrdinger-cat-states-of-a-nuclear-spin-qudit-in-silicon       | ✓ | ⏱: 5.51s 
[00:44:48 +20s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/tag/INDUSTRY+FIRST                                             | ✓ | ⏱: 5.64s 
[00:44:48 +20s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/tag/INDUSTRY+FIRST                                             | ✓ | ⏱: 0.07s 
[00:44:49 +20s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/tag/INDUSTRY+FIRST                                             | ✓ | ⏱: 5.75s 
[00:44:49 +21s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/tomography...s-in-exchange-coupled-donor-electron-spin-qubits  | ✓ | ⏱: 5.36s 
[00:44:49 +21s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/tomography...s-in-exchange-coupled-donor-electron-spin-qubits  | ✓ | ⏱: 0.04s 
[00:44:49 +21s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/tomography...s-in-exchange-coupled-donor-electron-spin-qubits  | ✓ | ⏱: 5.43s 
[00:44:49 +21s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/tag/QUBIT+CONTROL                                              | ✓ | ⏱: 5.71s 
[00:44:49 +21s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/tag/QUBIT+CONTROL                                              | ✓ | ⏱: 0.07s 
[00:44:49 +21s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/tag/QUBIT+CONTROL                                              | ✓ | ⏱: 5.81s 
[00:44:49 +21s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers?sort=alphabetical_asc                                          | ✓ | ⏱: 4.56s 
[00:44:49 +21s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers?sort=alphabetical_asc                                          | ✓ | ⏱: 0.12s 
